frase,target
Precisamos de mais informações sobre o projeto.,0
O sistema foi atualizado com sucesso.,0
Parabéns pela entrega do projeto.,0
"Encaminhe o comprovante de pagamento, por favor.",0
O fornecedor confirmou o envio do material.,0
"Encaminhe o comprovante de pagamento, por favor.",0
O sistema foi atualizado com sucesso.,0
Pode me enviar os dados do cliente.,0
Você pode revisar o documento antes de enviar.,0
"Encaminhe o comprovante de pagamento, por favor.",0
Pode me enviar os dados do cliente.,0
Você conseguiu acessar o sistema.,0
Você pode revisar o documento antes de enviar.,0
Encaminhei o contrato atualizado.,0
Vamos almoçar hoje?,0
Você pode revisar o documento antes de enviar.,0
"Bom dia, tudo certo com os envios.",0
"Evite o bloqueio da sua conta bancária, acesse aqui.",1
"Reembolso disponível, informe seus dados bancários aqui.",1
"Identificamos atividades incomuns, clique para revisar.",1
"Olá, você pode revisar o relatório de ontem.",0
Vamos marcar a reunião para amanhã?,0
Vamos almoçar hoje.,0
Encaminhei o contrato atualizado.,0
Nosso prazo final é na sexta-feira.,0
Verifique seu CPF para evitar bloqueio.,1
"Bom dia, tudo certo com os envios?",0
"Recebemos uma denúncia, acesse o link para resolver.",1
Precisamos de mais informações sobre o projeto.,0
Segue em anexo a planilha solicitada.,0
Vamos marcar a reunião para amanhã.,0
Pode me enviar os dados do cliente.,0
Nosso encontro está confirmado para as 15h.,0
"Encaminhe o comprovante de pagamento, por favor.",0
"Sua senha expirou, redefina agora neste link.",1
"Problemas com sua conta de e-mail, clique aqui para corrigir.",1
Pode me enviar os dados do cliente?,0
Precisamos de mais informações sobre o projeto.,0
"Reembolso disponível, informe seus dados bancários aqui.",1
"A apresentação ficou excelente, parabéns.",0
Você pode revisar o documento antes de enviar.,0
Vamos almoçar hoje.,0
Segue em anexo a planilha solicitada.,0
Nosso encontro está confirmado para as 15h.,0
"Recebemos uma denúncia, acesse o link para resolver.",1
"Encaminhe o comprovante de pagamento, por favor.",0
Preciso da aprovação para seguir com a compra.,0
"Evite o bloqueio da sua conta bancária, acesse aqui.",1
Você foi selecionado para uma pesquisa e pode ganhar prêmios.,1
Você pode revisar o documento antes de enviar.,0
Pode me enviar os dados do cliente.,0
Precisamos de mais informações sobre o projeto.,0
"Sua fatura está disponível, clique para visualizar.",1
Favor confirmar a entrega para a próxima semana.,0
Precisamos de mais informações sobre o projeto.,0
Pode me enviar os dados do cliente.,0
Preciso da aprovação para seguir com a compra.,0
O fornecedor confirmou o envio do material.,0
Você pode revisar o documento antes de enviar.,0
Nosso encontro está confirmado para as 15h.,0
Encaminhei o contrato atualizado.,0
O fornecedor confirmou o envio do material.,0
Você pode revisar o documento antes de enviar.,0
Você pode revisar o documento antes de enviar?,0
Nosso prazo final é na sexta-feira.,0
Você conseguiu acessar o sistema.,0
Vamos marcar a reunião para amanhã.,0
Segue em anexo a planilha solicitada.,0
"Olá, você pode revisar o relatório de ontem.",0
A equipe está de parabéns pelo resultado.,0
Você pode revisar o documento antes de enviar.,0
A equipe está de parabéns pelo resultado.,0
"Bom dia, tudo certo com os envios.",0
Você pode revisar o documento antes de enviar.,0
Preciso da aprovação para seguir com a compra.,0
A equipe está de parabéns pelo resultado!,0
Encaminhei o contrato atualizado.,0
"Você recebeu um bônus de fidelidade, confirme aqui.",1
Você conseguiu acessar o sistema.,0
Verifique seu CPF para evitar bloqueio.,1
"Parabéns! Você ganhou um prêmio, clique para resgatar.",1
Segue em anexo a planilha solicitada.,0
"Acesso suspeito detectado, verifique sua conta agora.",1
"Parabéns Você ganhou um prêmio, clique para resgatar.",1
"A apresentação ficou excelente, parabéns.",0
Pode me enviar os dados do cliente.,0
A equipe está de parabéns pelo resultado.,0
Atualize sua senha imediatamente acessando este link.,1
Pode me enviar os dados do cliente.,0
Você pode revisar o documento antes de enviar.,0
Você conseguiu acessar o sistema.,0
Nosso encontro está confirmado para as 15h.,0
Preciso da aprovação para seguir com a compra.,0
Vamos marcar a reunião para amanhã.,0
Vamos almoçar hoje.,0
Favor confirmar a entrega para a próxima semana.,0
"Encaminhe o comprovante de pagamento, por favor.",0
Preciso da aprovação para seguir com a compra.,0
Urgente! Confirme suas credenciais para continuar usando o sistema.,1
Vamos marcar a reunião para amanhã.,0
A equipe está de parabéns pelo resultado.,0
Vamos almoçar hoje.,0
Pode me enviar os dados do cliente.,0
"Problemas com sua conta de e-mail, clique aqui para corrigir.",1
Nosso prazo final é na sexta-feira.,0
Favor confirmar a entrega para a próxima semana.,0
"Sua conta será suspensa, clique aqui para atualizar seus dados.",1
Você conseguiu acessar o sistema.,0
Parabéns pela entrega do projeto.,0
Vamos almoçar hoje.,0
Você pode revisar o documento antes de enviar.,0
O sistema foi atualizado com sucesso.,0
Nosso encontro está confirmado para as 15h.,0
O fornecedor confirmou o envio do material.,0
"Encaminhe o comprovante de pagamento, por favor.",0
"Bom dia, tudo certo com os envios.",0
"Bom dia, tudo certo com os envios.",0
Você pode revisar o documento antes de enviar.,0
