frase,target
Re: Segue o relatório solicitado,0
O TREINAMENTO SERÁ INICIADO ÀS 14H,0
O orçamento foi aprovado pela diretoria,0
PRECISAMOS DE MAIS INFORMAÇÕES SOBRE O PROJETO,0
"Por favor, os dados foram inseridos corretamente",0
Clique aqui para ativar seu novo benefício Obrigado!,1
Precisamos de mais informações sobre o projeto.,0
os dados foram inseridos corretamente,0
Aguardamos a confirmação da proposta.,0
"Re: Sua conta será suspensa, clique aqui para evitar",1
"Seu certificado digital expirou, atualize-o aqui.",1
os dados foram inseridos corretamente,0
AGUARDAMOS A CONFIRMAÇÃO DA PROPOSTA,0
"Sua conta foi comprometida, acesse aqui para restaurar.",1
Re: O fornecedor confirmou o envio do material,0
clique aqui para ativar seu novo benefício,1
"Por favor, envie os dados da pesquisa Obrigado!",0
"encaminhe o comprovante de pagamento, por favor",0
Re: Houve uma atualização no cronograma,0
vamos revisar os indicadores de desempenho,0
Segue o relatório solicitado.,0
Vamos reagendar a reunião da semana passada.,0
O LOGIN FOI REALIZADO COM SUCESSO,0
"Por favor, a entrega está prevista para sexta-feira",0
a entrega está prevista para sexta-feira,0
O TREINAMENTO SERÁ INICIADO ÀS 14H,0
Re: Houve uma atualização no cronograma,0
Reenvie sua senha para continuar acessando.,1
atualize suas informações bancárias imediatamente,1
"Recebemos uma solicitação incomum, clique aqui para detalhes.",1
"Por favor, por favor, envie os dados da pesquisa",0
Re: O fornecedor confirmou o envio do material,0
Re: O login foi realizado com sucesso,0
Re: Parabéns pela entrega do projeto,0
"Encaminhe o comprovante de pagamento, por favor Obrigado!",0
Obrigado pela atenção e colaboração Obrigado!,0
"Por favor, envie os dados da pesquisa Obrigado!",0
Segue o relatório solicitado.,0
"Por favor, obrigado pela atenção e colaboração",0
"Seu pagamento foi recusado, acesse o portal para corrigir.",1
HOUVE UMA ATUALIZAÇÃO NO CRONOGRAMA,0
o orçamento foi aprovado pela diretoria,0
Acesse o documento urgente antes que expire,1
"Por favor, os dados foram inseridos corretamente",0
Re: Parabéns pela entrega do projeto,0
obrigado pela atenção e colaboração,0
"Por favor, obrigado pela atenção e colaboração",0
PRECISAMOS DE MAIS INFORMAÇÕES SOBRE O PROJETO,0
Re: Segue o relatório solicitado,0
"Por favor, por favor, envie os dados da pesquisa",0
RESPONDA IMEDIATAMENTE PARA EVITAR PENALIDADES,1
AGUARDAMOS A CONFIRMAÇÃO DA PROPOSTA,0
Aguardamos a confirmação da proposta.,0
"Re: Recebemos uma solicitação incomum, clique aqui para detalhes",1
Obrigado pela atenção e colaboração,0
"Seu pagamento foi recusado, acesse o portal para corrigir.",1
"Sua conta será suspensa, clique aqui para evitar.",1
"por favor, envie os dados da pesquisa",0
os dados foram inseridos corretamente,0
Temos uma reunião agendada para amanhã Obrigado!,0
"por favor, envie os dados da pesquisa",0
o backup foi realizado conforme solicitado,0
o backup foi realizado conforme solicitado,0
O backup foi realizado conforme solicitado Obrigado!,0
"Por favor, acesse o documento urgente antes que expire",1
Re: Aguardamos a confirmação da proposta,0
"encaminhe o comprovante de pagamento, por favor",0
Re: Parabéns pela entrega do projeto,0
Re: Aguardamos a confirmação da proposta,0
"Por favor, vamos revisar os indicadores de desempenho",0
"Por favor, solicitação de reembolso pendente, envie dados bancários",1
temos uma reunião agendada para amanhã,0
RECEBEMOS SEU PEDIDO E ESTÁ EM PROCESSAMENTO,0
"Por favor, o sistema foi atualizado com sucesso",0
"Por favor, encaminhe o comprovante de pagamento, por favor",0
"Por favor, acesse o documento urgente antes que expire",1
Re: Houve uma atualização no cronograma,0
Recebemos seu pedido e está em processamento.,0
vamos revisar os indicadores de desempenho,0
"Por favor, temos uma reunião agendada para amanhã",0
Responda imediatamente para evitar penalidades.,1
"Por favor, encaminhe o comprovante de pagamento, por favor",0
SEGUE O RELATÓRIO SOLICITADO,0
"Sua conta será suspensa, clique aqui para evitar",1
"Por favor, temos uma reunião agendada para amanhã",0
"Por favor, o orçamento foi aprovado pela diretoria",0
"Por favor, último aviso: seu acesso será bloqueado em 24h",1
"Por favor, a entrega está prevista para sexta-feira",0
